Unnamed: 0,meshcode,linkno,orflg,signcnt,signno,maxspeed,signkeido,signido,signpos,variable,existroad,exlinkno,geometry,Longitude,Latitude,X1,Y1
15,Z513244,7805,1,2,2,40,477025416,123612456,0,0,0,0,,132.50706,34.33679333333333,8830.41680446663,-4814.4750480391085
16,Z513244,7811,1,1,1,40,477020836,123617795,0,0,0,0,,132.50578777777778,34.338276388888886,8722.889048612094,-4642.703165250889
17,Z513244,7817,1,2,1,40,477023924,123615355,0,0,0,0,,132.50664555555556,34.33759861111111,8797.507969805505,-4722.714485647273
18,Z513244,7817,1,2,2,40,477026301,123613525,0,0,0,0,,132.50730583333333,34.337090277777776,8855.035187893664,-4782.81497791165
19,Z513244,9425,1,2,1,60,477005982,123681959,0,0,0,0,,132.50166166666668,34.356099722222226,8459.93333976774,-2639.2879120762227
20,Z513244,9425,1,2,2,40,477042738,123670125,0,0,0,0,,132.51187166666668,34.3528125,9379.381926080328,-3060.3829874262738
21,Z513244,9481,1,1,1,40,476995343,123766448,0,0,0,0,,132.49870638888888,34.37956888888889,8342.335854144418,-14.775591365178116
22,Z513244,9617,1,1,1,60,476992388,123684457,0,0,0,0,,132.49788555555557,34.35679361111111,8116.456515212543,-2541.52338155068
23,Z513244,9757,1,1,1,40,477036144,123856317,0,0,0,0,,132.51004,34.4045325,9551.123256621882,2697.7120241551893
24,Z513244,9808,1,1,1,60,477044452,123670305,0,0,0,0,,132.5123477777778,34.3528625,9423.596468839445,-3057.423662998568
25,Z513244,9853,1,2,1,60,476997913,123724637,0,0,0,0,,132.49942027777777,34.36795472222222,8331.511322612176,-1309.4744039606303
26,Z513244,9853,1,2,2,60,476994388,123747391,0,0,0,0,,132.4984411111111,34.37427527777778,8282.966402520542,-601.6546449702582
27,Z513244,9935,1,2,1,40,476998732,123683750,0,0,0,0,,132.49964777777777,34.35659722222222,8277.588583836914,-2572.986645704834
28,Z513244,9935,1,2,2,40,476994944,123684025,0,0,0,0,,132.49859555555557,34.35667361111111,8181.107086692704,-2558.743110640644
29,Z513244,9949,1,1,1,40,476992710,123704908,0,0,0,0,,132.497975,34.362474444444445,8162.167002253118,-1910.6462396054994
30,Z513244,9950,1,1,1,40,476997342,123714798,0,0,0,0,,132.49926166666665,34.36522166666666,8298.869513518293,-1612.3577846298285
31,Z513244,10000,1,1,1,60,477006520,123830093,0,0,0,0,,132.50181111111112,34.39724805555556,8745.031995898113,1933.0974342463014
