,meshcode,zuflg,tnodeno,snodeno,slinkno,susno,stype,ichikeido,ichiido,signx,signy,geometry
595,513253,0,2259,3877,8376,1,0,476862381,124051054,476862333,124051053,
596,513253,0,2274,6328,9611,1,0,476869133,123984627,476869129,123984627,
597,513253,0,2274,6329,12314,1,0,476868888,123984427,476868849,123984465,
598,513253,0,2282,1506,8257,1,0,476951188,124080853,476950778,124081067,
599,513253,0,2282,5545,9277,1,0,476950942,124080486,476951074,124080584,
600,513253,0,2312,1552,3787,1,0,476611424,124204165,476611557,124204120,
601,513253,0,2314,2313,6871,1,0,476603978,124203765,476604055,124203758,
602,513253,0,2314,452,6872,1,0,476603774,124204098,476603687,124204092,
603,513253,0,2317,2319,6882,1,0,476604183,124207965,476604526,124207876,
604,513253,0,2317,453,6883,1,0,476603897,124208332,476603857,124208300,
605,513253,0,2319,2321,6881,1,0,476608888,124206465,476608961,124206433,
606,513253,0,2319,2317,6882,1,0,476608642,124206732,476608523,124206736,
607,513253,0,2325,1564,6908,1,0,476619891,124196899,476619885,124196875,
608,513253,0,2326,2325,6892,1,0,476619441,124197899,476619493,124197838,
609,513253,0,2326,1868,6893,1,0,476619482,124198366,476619437,124198391,
610,513253,0,2327,2332,6904,1,0,476614123,124210598,476614176,124210548,
611,513253,0,2327,2675,7260,1,0,476614573,124210832,476614588,124210901,
612,513253,0,2328,2327,6896,1,0,476618500,124208698,476618453,124208693,
613,513253,0,2329,3616,8116,1,0,476619073,124210832,476618899,124210694,
614,513253,0,2330,1558,7742,1,0,476622877,124204832,476622878,124204826,
615,513253,0,2332,1557,6903,1,0,476617477,124207298,476617526,124207298,
616,513253,0,2332,2327,6904,1,0,476617314,124207732,476617271,124207752,
617,513253,0,2381,2385,6953,1,0,476695202,124046716,476695320,124046722,
618,513253,0,2381,2384,8410,1,0,476694384,124046883,476694342,124046898,
619,513253,0,2411,2412,1991,1,0,476733733,124113210,476734103,124113182,
620,513253,0,2411,2410,2213,1,0,476733610,124113644,476733662,124113638,
621,513253,0,2414,1658,1993,1,0,476734101,124107178,476734174,124107149,
622,513253,0,2419,1645,6977,1,0,476725798,124110477,476725851,124110434,
623,513253,0,2419,2420,6978,1,0,476726084,124110044,476726105,124109976,
624,513253,0,2422,2438,2002,1,0,476727557,124105245,476727566,124105220,
625,513253,0,2422,2437,2222,1,0,476727148,124105411,476727191,124105435,
626,513253,0,2439,2442,3882,1,0,476765516,124095680,476765520,124095610,
627,513253,0,2440,2442,6994,1,0,476764044,124092847,476764114,124092848,
628,513253,0,2440,3653,8138,1,0,476763594,124093047,476763581,124093063,
629,513253,0,2441,3654,3907,1,0,476763635,124091980,476762960,124091780,
630,513253,0,2441,2444,8143,1,0,476763880,124091647,476763987,124091651,
631,513253,0,2443,723,6995,1,0,476767071,124092680,476767425,124092698,
632,513253,0,2443,2442,8070,1,0,476766744,124092980,476766682,124092944,
633,513253,0,2444,2441,8143,1,0,476766621,124091780,476766523,124091711,
634,513253,0,2444,722,8144,1,0,476766948,124091447,476767043,124091438,
635,513253,0,2449,3532,3866,1,0,476746781,124121010,476746712,124121224,
636,513253,0,2465,1697,2189,1,0,476775537,124124644,476775435,124124545,
637,513253,0,2465,2470,8018,1,0,476776192,124124644,476776239,124124690,
638,513253,0,2468,1693,7865,1,0,476775905,124128644,476775902,124128593,
639,513253,0,2469,2466,7038,1,0,476777051,124127610,476777293,124127651,
640,513253,0,2470,2465,8018,1,0,476777746,124126810,476777793,124126900,
641,513253,0,2471,9390,11548,1,0,476778646,124126610,476778597,124126583,
642,513253,0,2475,1704,7042,1,0,476785804,124129310,476785749,124129300,
643,513253,0,2479,2481,7046,1,0,476803843,124132210,476803730,124132188,
644,513253,0,2479,2483,7049,1,0,476804252,124132044,476804427,124132102,
645,513253,0,2480,2487,7053,1,0,476806748,124124245,476806636,124124210,
646,513253,0,2480,2486,8000,1,0,476807157,124124178,476807183,124124205,
647,513253,0,2491,2508,2029,1,0,476813660,124131510,476813871,124131619,
648,513253,0,2495,1719,7062,1,0,476813250,124149308,476813214,124149296,
649,513253,0,2498,2513,7868,1,0,476811574,124137444,476811623,124137347,
650,513253,0,2499,2492,2153,1,0,476812801,124138409,476812697,124138575,
651,513253,0,2500,2516,7072,1,0,476822414,124142243,476822411,124142228,
652,513253,0,2500,2515,7882,1,0,476822414,124141776,476822494,124141603,
653,513253,0,2508,2512,7067,1,0,476814929,124132310,476814770,124132490,
654,513253,0,2508,3459,7878,1,0,476814847,124131944,476814910,124131839,
