,meshcode,linkno,geometry
1265,533936,4919,
1266,533936,4920,
1267,533936,4921,
1268,533936,4922,
1269,533936,4923,
1270,533936,4924,
1271,533936,4925,
1272,533936,4926,
1273,533936,4927,
1274,533936,4928,
1275,533936,4929,
1276,533936,4931,
1277,533936,4932,
1278,533936,4933,
1279,533936,4935,
1280,533936,4936,
1281,533936,4937,
1282,533936,4938,
1283,533936,4939,
1284,533936,4940,
1285,533936,4941,
1286,533936,4942,
1287,533936,4943,
1288,533936,4944,
1289,533936,4946,
1290,533936,4947,
1291,533936,4949,
1292,533936,4950,
1293,533936,4951,
1294,533936,4952,
1295,533936,4953,
1296,533936,4954,
1297,533936,4955,
1298,533936,4956,
1299,533936,4957,
1300,533936,4959,
1301,533936,4960,
1302,533936,4961,
1303,533936,4962,
1304,533936,4963,
1305,533936,4964,
1306,533936,4965,
1307,533936,4966,
1308,533936,4967,
1309,533936,4968,
1310,533936,4970,
1311,533936,4971,
1312,533936,4973,
1313,533936,4974,
1314,533936,4975,
1315,533936,4976,
1316,533936,4977,
1317,533936,4979,
1318,533936,4980,
1319,533936,4981,
1320,533936,4982,
1321,533936,4983,
1322,533936,4984,
1323,533936,4985,
1324,533936,4986,
1325,533936,4988,
1326,533936,4989,
1327,533936,4991,
1328,533936,4992,
1329,533936,4996,
1330,533936,4997,
1331,533936,4998,
1332,533936,4999,
1333,533936,5001,
1334,533936,5002,
1335,533936,5003,
1336,533936,5004,
1337,533936,5005,
1338,533936,5006,
1339,533936,5007,
1340,533936,5008,
1341,533936,5009,
1342,533936,5010,
1343,533936,5011,
1344,533936,5012,
1345,533936,5013,
1346,533936,5014,
1347,533936,5015,
1348,533936,5016,
1349,533936,5017,
1350,533936,5019,
1351,533936,5020,
1352,533936,5024,
1353,533936,5025,
1354,533936,5026,
1355,533936,5027,
1356,533936,5028,
1357,533936,5029,
1358,533936,5030,
1359,533936,5033,
1360,533936,5034,
1361,533936,5036,
1362,533936,5037,
1363,533936,5038,
1364,533936,5039,
1365,533936,5040,
1366,533936,5041,
1367,533936,5042,
1368,533936,5043,
1369,533936,5044,
1370,533936,5045,
1371,533936,5046,
1372,533936,5047,
1373,533936,5049,
1374,533936,5050,
1375,533936,5051,
1376,533936,5052,
1377,533936,5053,
1378,533936,5054,
1379,533936,5055,
1380,533936,5056,
1381,533936,5057,
1382,533936,5058,
1383,533936,5059,
1384,533936,5060,
1385,533936,5061,
1386,533936,5062,
1387,533936,5064,
1388,533936,5065,
1389,533936,5066,
1390,533936,5067,
1391,533936,5068,
1392,533936,5069,
1393,533936,5070,
1394,533936,5071,
1395,533936,5072,
1396,533936,5073,
1397,533936,5074,
1398,533936,5077,
1399,533936,5078,
1400,533936,5079,
1401,533936,5080,
1402,533936,5081,
1403,533936,5082,
1404,533936,5083,
1405,533936,5084,
1406,533936,5085,
1407,533936,5086,
1408,533936,5087,
1409,533936,5089,
1410,533936,5090,
1411,533936,5091,
1412,533936,5092,
1413,533936,5093,
1414,533936,5094,
1415,533936,5095,
1416,533936,5096,
1417,533936,5097,
1418,533936,5098,
1419,533936,5099,
1420,533936,5100,
1421,533936,5101,
1422,533936,5102,
1423,533936,5103,
1424,533936,5104,
1425,533936,5105,
1426,533936,5106,
1427,533936,5107,
1428,533936,5108,
1429,533936,5109,
1430,533936,5110,
1431,533936,5111,
1432,533936,5112,
1433,533936,5113,
1434,533936,5114,
1435,533936,5115,
1436,533936,5116,
1437,533936,5117,
1438,533936,5118,
1439,533936,5122,
1440,533936,5123,
1441,533936,5126,
1442,533936,5127,
1443,533936,5128,
1444,533936,5129,
1445,533936,5130,
1446,533936,5131,
1447,533936,5132,
1448,533936,5133,
1449,533936,5134,
1450,533936,5135,
1451,533936,5136,
1452,533936,5137,
1453,533936,5138,
1454,533936,5139,
1455,533936,5140,
1456,533936,5141,
1457,533936,5142,
1458,533936,5143,
1459,533936,5144,
1460,533936,5145,
1461,533936,5149,
1462,533936,5152,
1463,533936,5153,
1464,533936,5154,
1465,533936,5155,
1466,533936,5156,
1467,533936,5157,
1468,533936,5158,
1469,533936,5159,
1470,533936,5160,
1471,533936,5161,
1472,533936,5162,
1473,533936,5163,
1474,533936,5164,
1475,533936,5169,
1476,533936,5170,
1477,533936,5171,
1478,533936,5172,
1479,533936,5173,
1480,533936,5174,
1481,533936,5175,
1482,533936,5176,
1483,533936,5177,
1484,533936,5178,
1485,533936,5179,
1486,533936,5180,
1487,533936,5181,
1488,533936,5182,
1489,533936,5183,
1490,533936,5186,
