,meshcode,nodeno,symcode,realx,realy,geometry
1708,533936,6369,719999,503179504,128403426,
1709,533936,6369,712231,503178113,128402360,
1710,533936,6369,712231,503177786,128402593,
1711,533936,6370,719999,503248267,128408995,
1712,533936,6370,711505,503253872,128408195,
1713,533936,6370,712231,503248840,128409428,
1714,533936,6370,711505,503250763,128405028,
1715,533936,6370,712231,503248472,128408828,
1716,533936,6370,712231,503248513,128409695,
1717,533936,6374,719999,503163316,128144925,
1718,533936,6385,719999,503113121,128238078,
1719,533936,6386,719999,503127150,128259576,
1720,533936,6390,719999,503126740,128270607,
1721,533936,6397,719999,503406043,128302178,
1722,533936,6397,710421,503407024,128301478,
1723,533936,6399,719999,503230352,128325503,
1724,533936,6400,719999,503371884,128326040,
1725,533936,6400,710531,503371066,128325407,
1726,533936,6403,719999,503135941,128351431,
1727,533936,6406,719999,503195827,128370764,
1728,533936,6406,710438,503193086,128368231,
1729,533936,6406,711400,503199098,128371697,
1730,533936,6406,710428,503195990,128370097,
1731,533936,6408,719999,503184823,128363431,
1732,533936,6413,719999,503126164,128389793,
1733,533936,6423,719999,503111928,128394493,
1734,533936,6423,710428,503110701,128393660,
1735,533936,6428,719999,503127063,128403625,
1736,533936,6428,710321,503126367,128403192,
1737,533936,6429,719999,503161546,128410125,
1738,533936,6449,719999,503126904,128266075,
1739,533936,6452,719999,503410952,128289880,
1740,533936,6455,719999,503242542,128330003,
1741,533936,6472,719999,503220492,128387996,
1742,533936,6478,719999,503137084,128400226,
1743,533936,6478,711400,503135899,128400026,
1744,533936,6479,710428,503163755,128407293,
1745,533936,6481,719999,503183389,128406526,
1746,533936,6481,710516,503184576,128406593,
1747,533936,6482,719999,503234441,128398462,
1748,533936,6485,719999,503279325,128142062,
1749,533936,6497,719999,503121955,128253276,
1750,533936,6499,719999,503100889,128263707,
1751,533936,6500,719999,503121546,128265641,
1752,533936,6500,710438,503119459,128266775,
1753,533936,6501,719999,503410012,128269815,
1754,533936,6501,710428,503407762,128270815,
1755,533936,6502,719999,503411974,128289846,
1756,533936,6503,719999,503288315,128317073,
1757,533936,6503,710438,503286720,128317673,
1758,533936,6506,719999,503235424,128329070,
1759,533936,6509,719999,503137700,128352165,
1760,533936,6515,719999,503137617,128388861,
1761,533936,6524,719999,503123135,128404859,
1762,533936,6524,711416,503124690,128405292,
1763,533936,6530,719999,503279980,128142429,
1764,533936,6536,719999,503117541,128185318,
1765,533936,6543,719999,503127355,128253409,
1766,533936,6546,719999,503126945,128265741,
1767,533936,6553,719999,503371516,128328707,
1768,533936,6553,710531,503371066,128325407,
1769,533936,6558,719999,503141339,128392061,
1770,533936,6560,719999,503133158,128382061,
1771,533936,6560,711805,503135776,128383894,
1772,533936,6563,719999,503209693,128380330,
1773,533936,6566,719999,503117982,128406458,
1774,533936,6566,710400,503119618,128408091,
1775,533936,6566,711400,503118636,128405692,
1776,533936,6566,711415,503119291,128405059,
1777,533936,6566,711400,503115159,128406124,
1778,533936,6568,719999,503187194,128409626,
1779,533936,6568,710438,503188094,128409626,
1780,533936,6568,710428,503184821,128408960,
1781,533936,6585,719999,503405800,128242686,
1782,533936,6586,719999,503121465,128247110,
1783,533936,6586,712000,503123632,128248710,
1784,533936,6586,712000,503123388,128245510,
1785,533936,6587,719999,503195830,128255878,
1786,533936,6587,710438,503197507,128255811,
1787,533936,6587,710500,503199839,128257043,
1788,533936,6599,719999,503132504,128381994,
1789,533936,6599,711805,503135776,128383894,
1790,533936,6605,719999,503133485,128401492,
