,meshcode,tnodeno,snodeno,enodeno,yssnodeno,ysenodeno,geometry
653,533936,4807,5384,5336,5336,5520,
654,533936,4807,5384,5336,5336,5329,
655,533936,4807,5384,5336,4807,4184,
656,533936,4819,4338,4819,4819,4825,
657,533936,4926,5220,4926,4926,2403,
658,533936,4926,5220,4926,4926,3519,
659,533936,5263,5748,5315,5315,5777,
660,533936,5263,5748,5315,5340,6506,
661,533936,5263,5748,5315,5263,6334,
662,533936,5263,5965,5309,5315,5777,
663,533936,5263,5965,5309,5309,5572,
664,533936,5263,5965,5309,5263,6334,
665,533936,5263,5992,5263,5340,6506,
666,533936,5263,5992,5263,5263,6334,
667,533936,5263,5992,5263,5309,5572,
668,533936,5263,6552,5340,5315,5777,
669,533936,5263,6552,5340,5340,6506,
670,533936,5263,6552,5340,5309,5572,
671,533936,5306,5362,5368,5306,5520,
672,533936,5306,5529,5306,5368,5400,
673,533936,5372,5481,5374,5374,5552,
674,533936,5393,3584,5393,5393,5398,
675,533936,5452,269,5453,5452,5528,
676,533936,5452,269,5453,5453,6120,
677,533936,5452,269,5453,5452,4225,
678,533936,5452,4225,5452,5453,6120,
679,533936,5452,4225,5452,5452,5528,
680,533936,5452,4225,5452,5453,269,
681,533936,5452,5519,5453,5452,4225,
682,533936,5452,5519,5453,5453,6120,
683,533936,5452,5519,5453,5453,269,
684,533936,5452,6246,5452,5453,269,
685,533936,5452,6246,5452,5452,4225,
686,533936,5452,6246,5452,5452,5528,
687,533936,5454,5337,5506,5454,5484,
688,533936,5454,5337,5506,5506,5362,
689,533936,5454,5337,5506,5506,5398,
690,533936,5454,5470,5454,5506,5398,
691,533936,5454,5470,5454,5454,5025,
692,533936,5454,5470,5454,5454,5484,
693,533936,5464,5490,5746,5746,5964,
694,533936,5464,5490,5746,5746,5745,
695,533936,5464,5490,5746,5464,6126,
696,533936,5464,5964,5746,5746,5745,
697,533936,5464,5964,5746,5464,6126,
698,533936,5464,5964,5746,5963,5747,
699,533936,5464,6242,5963,5963,5747,
700,533936,5464,6242,5963,5746,5964,
701,533936,5464,6242,5963,5746,5745,
702,533936,5464,6252,5464,5464,6126,
703,533936,5464,6252,5464,5963,5747,
704,533936,5464,6252,5464,5746,5964,
705,533936,5537,5570,5537,5537,5519,
706,533936,5553,5568,5553,5553,3871,
707,533936,5587,748,5587,5587,6641,
708,533936,5587,1814,5587,5587,6295,
709,533936,5587,6295,5587,5587,6641,
710,533936,5587,6295,5587,5587,748,
711,533936,5587,6641,5587,5587,6295,
712,533936,5587,6641,5587,5587,1814,
713,533936,5626,5871,5626,5626,6068,
714,533936,5645,303,5645,5645,4800,
715,533936,5645,4495,5645,5645,6752,
716,533936,5645,4800,5645,5645,4495,
717,533936,5645,4800,5645,5645,6752,
718,533936,5645,6752,5645,5645,303,
