,Unnamed: 0,meshcode,nodeno,vflg,zuflg,nextflg,zahyocnt,keido1,ido1,keido2,ido2,keido3,ido3,keido4,ido4,keido5,ido5,geometry
108,108,533936,5113,0,0,1,15,139.79186972222223,35.63518277777778,139.7917811111111,35.63513527777778,139.7916488888889,35.63506388888889,139.7915111111111,35.63498944444444,139.79140805555556,35.63493416666667,
109,109,533936,5113,0,0,2,15,139.79130194444446,35.63487666666666,139.791175,35.63480805555555,139.7910288888889,35.634729166666666,139.79087555555554,35.63464611111111,139.79073861111112,35.63457277777778,
110,110,533936,5113,0,0,3,15,139.79058444444445,35.63448916666667,139.79044166666668,35.634411944444444,139.7903188888889,35.634345277777776,139.7902263888889,35.634295,139.79014027777777,35.63424944444444,
111,111,533936,5254,0,0,1,8,139.79915861111112,35.639454722222226,139.79932583333334,35.63954805555556,139.79952833333334,35.63965888888889,139.7997836111111,35.63979472222222,139.80004055555557,35.63993083333333,
112,112,533936,5254,0,0,2,8,139.80020944444445,35.64001888888889,139.80044444444445,35.64013694444444,139.8005675,35.64019805555556,0.0,0.0,0.0,0.0,
113,113,533936,5262,0,0,1,14,139.791465,35.63525944444444,139.79154944444446,35.635305277777775,139.79161472222222,35.63534111111111,139.7917113888889,35.6353925,139.79180055555557,35.635440555555554,
114,114,533936,5262,0,0,2,14,139.7919225,35.635506666666664,139.79203388888888,35.6355675,139.7921663888889,35.635639166666664,139.79225166666666,35.635685,139.79236833333334,35.63574805555555,
115,115,533936,5262,0,0,3,14,139.79247416666666,35.63580611111111,139.7925825,35.635864166666664,139.79267777777778,35.63591638888889,139.79274194444446,35.63595083333333,0.0,0.0,
116,116,533936,5493,0,0,1,16,139.79473055555556,35.64129111111111,139.79476222222223,35.64124944444445,139.7948186111111,35.64117916666667,139.79486805555555,35.64111527777778,139.79493638888889,35.64102722222222,
117,117,533936,5493,0,0,2,16,139.7950136111111,35.640928333333335,139.79507166666667,35.64085361111111,139.79512527777777,35.64078416666667,139.79518555555555,35.6407075,139.7952525,35.64062111111111,
118,118,533936,5493,0,0,3,16,139.79531972222222,35.640535,139.79535222222222,35.64049388888889,139.79538166666666,35.640456388888886,139.79544611111112,35.64037444444445,139.79550805555556,35.640297777777775,
119,119,533936,5493,0,0,4,16,139.79554861111112,35.64024722222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
120,120,533936,5511,0,0,1,20,139.79529833333333,35.64010944444444,139.79526833333333,35.64014861111111,139.79521,35.64022138888889,139.79517194444443,35.64026888888889,139.79510666666667,35.640349444444446,
121,121,533936,5511,0,0,2,20,139.79504111111112,35.640432777777775,139.79498027777777,35.64050833333334,139.79491166666668,35.64059527777778,139.79485083333333,35.64067055555556,139.79481583333333,35.64071472222222,
122,122,533936,5511,0,0,3,20,139.79475861111112,35.64078888888889,139.79469777777777,35.64086388888889,139.79461722222223,35.64096583333333,139.79455027777777,35.64105166666667,139.79448805555555,35.641131944444446,
123,123,533936,5511,0,0,4,20,139.79442083333333,35.641218333333335,139.79436638888888,35.64129111111111,139.7943138888889,35.64136,139.79428472222222,35.641399444444446,139.79422722222222,35.64147444444444,
124,124,533936,5672,0,0,1,13,139.76937972222223,35.62234611111111,139.76952222222224,35.622457777777775,139.76961083333333,35.622526388888886,139.76969666666668,35.622593611111114,139.76978472222223,35.622662222222225,
125,125,533936,5672,0,0,2,13,139.76987527777777,35.622730833333335,139.7699663888889,35.622799444444446,139.77005777777777,35.62286805555556,139.77014944444446,35.62293694444445,139.77024055555555,35.62300416666667,
126,126,533936,5672,0,0,3,13,139.77033111111112,35.623075,139.77042138888888,35.62314333333333,139.7705463888889,35.62324388888889,0.0,0.0,0.0,0.0,
127,127,533936,5950,0,0,1,9,139.7927488888889,35.64364777777778,139.79287194444444,35.64349305555555,139.79296166666666,35.64338138888889,139.79311805555557,35.643187222222224,139.79327444444445,35.64300305555555,
128,128,533936,5950,0,0,2,9,139.79343111111112,35.64281861111111,139.79361777777777,35.642603333333334,139.79378055555554,35.64241805555555,139.79397194444445,35.64219805555555,0.0,0.0,
129,129,533936,6118,0,0,1,10,139.79312777777778,35.6428725,139.79304972222224,35.64296916666667,139.79296,35.64308333333334,139.79286888888888,35.64320194444444,139.7927586111111,35.64334916666667,
130,130,533936,6118,0,0,2,10,139.7926913888889,35.64343916666667,139.79260805555555,35.64355166666667,139.79252305555556,35.64366611111111,139.7924363888889,35.64378083333333,139.7923075,35.64394611111111,
131,131,533936,6195,0,0,0,5,139.75540972222223,35.58845138888889,139.75540666666666,35.588316666666664,139.75540416666666,35.58781916666667,139.7554025,35.58732611111111,139.75540083333334,35.58703666666667,
132,132,533936,6304,0,0,0,4,139.7551188888889,35.59408888888889,139.7551188888889,35.59456111111111,139.75511138888888,35.59498888888889,139.75511194444445,35.59516055555556,0.0,0.0,
