,meshcode,linkno,snodeno,enodeno,day,shour,ehour,sdate,edate,cartype,geometry
566,513244,10372,8143,1263,100000000,0700,0900,0101,1231,0,
567,513244,10374,8271,7910,100000000,0000,2400,0101,1231,0,
568,513244,10375,6758,8150,100000000,0000,2400,0101,1231,0,
569,513244,10376,180,8312,100000000,0000,2400,0101,1231,0,
570,513244,10378,8155,8225,100000000,0000,2400,0101,1231,0,
571,513244,10386,8083,8165,100000000,0000,2400,0101,1231,0,
572,513244,10388,8348,8322,100000000,0000,2400,0101,1231,0,
573,513244,10389,8367,8238,100000000,0000,2400,0101,1231,0,
574,513244,10396,4610,8410,100000000,0000,2400,0101,1231,0,
575,513244,10405,8354,8257,100000000,0000,2400,0101,1231,0,
576,513244,10408,8412,8265,100000000,0000,2400,0101,1231,0,
577,513244,10414,7651,7647,100000000,0000,2400,0101,1231,0,
578,513244,10415,8312,8151,100000000,0000,2400,0101,1231,0,
579,513244,10417,8225,8314,100000000,0000,2400,0101,1231,0,
580,513244,10434,8290,8187,100000000,0000,2400,0101,1231,0,
581,513244,10435,8420,8243,100000000,0000,2400,0101,1231,0,
582,513244,10437,8410,8249,100000000,0000,2400,0101,1231,0,
583,513244,10443,8257,8107,100000000,0000,2400,0101,1231,0,
584,513244,10447,8265,8394,100000000,0000,2400,0101,1231,0,
585,513244,10451,8314,8155,100000000,0000,2400,0101,1231,0,
586,513244,10461,8289,8324,100000000,0000,2400,0101,1231,0,
587,513244,10463,8371,8294,100000000,0000,2400,0101,1231,0,
588,513244,10473,7323,8228,100000000,0000,2400,0101,1231,0,
589,513244,10479,2236,7083,100000000,0000,2400,0101,1231,0,
590,513244,10484,8324,8290,100000000,0000,2400,0101,1231,0,
591,513244,10492,8260,3498,100000000,0000,2400,0101,1231,0,
592,513244,10493,8107,8305,100000000,0000,2400,0101,1231,0,
593,513244,10494,8428,8412,100000000,0000,2400,0101,1231,0,
594,513244,10497,8228,3166,100000000,0000,2400,0101,1231,0,
595,513244,10500,3789,8444,100000000,0000,2400,0101,1231,0,
596,513244,10502,3481,8293,100000000,0000,2400,0101,1231,0,
597,513244,10505,8305,8260,100000000,0000,2400,0101,1231,0,
598,513244,10507,8317,6756,100000000,0000,2400,0101,1231,0,
599,513244,10511,8176,8239,100000000,0000,2400,0101,1231,0,
600,513244,10513,8328,8186,100000000,0000,2400,0101,1231,0,
601,513244,10516,8188,8190,100000000,0000,2400,0101,1231,0,
602,513244,10520,6760,8317,100000000,0000,2400,0101,1231,0,
603,513244,10523,8096,8441,100000000,0000,2400,0101,1231,0,
604,513244,10532,8286,8238,100000000,0000,2400,0101,1231,0,
605,513244,10544,7068,8370,100000000,0000,2400,0101,1231,0,
606,513244,10548,8190,8375,100000000,0000,2400,0101,1231,0,
607,513244,10553,8444,8419,100000000,0000,2400,0101,1231,0,
608,513244,10559,8248,187,100000000,0000,2400,0101,1231,0,
609,513244,10562,8375,8337,100000000,0000,2400,0101,1231,0,
610,513244,10565,8364,8346,100000000,0000,2400,0101,1231,0,
611,513244,10567,8419,8417,100000000,0000,2400,0101,1231,0,
612,513244,10568,8385,2236,100000000,0000,2400,0101,1231,0,
613,513244,10572,8351,8447,100000000,0000,2400,0101,1231,0,
614,513244,10573,8393,8305,100000000,0000,2400,0101,1231,0,
615,513244,10580,7701,8418,100000000,0000,2400,0101,1231,0,
616,513244,10581,8238,7575,100000000,0000,2400,0101,1231,0,
617,513244,10583,8102,8401,100000000,0000,2400,0101,1231,0,
618,513244,10584,8388,8406,100000000,0000,2400,0101,1231,0,
619,513244,10586,8293,8371,100000000,0000,2400,0101,1231,0,
620,513244,10587,8449,8351,100000000,0000,2400,0101,1231,0,
621,513244,10588,8358,8393,100000000,0000,2400,0101,1231,0,
622,513244,10592,8168,8440,100000000,0000,2400,0101,1231,0,
623,513244,10594,8418,8168,100000000,0000,2400,0101,1231,0,
624,513244,10596,7701,8420,100000000,0000,2400,0101,1231,0,
625,513244,10597,8406,7055,100000000,0000,2400,0101,1231,0,
626,513244,10606,8440,8444,100000000,0000,2400,0101,1231,0,
627,513244,10608,7955,8431,100000000,0000,2400,0101,1231,0,
628,513244,10628,8410,3481,100000000,0000,2400,0101,1231,0,
629,513244,10629,187,8408,100000000,0000,2400,0101,1231,0,
630,513244,10634,7095,8367,100000000,0000,2400,0101,1231,0,
631,513244,10639,8408,221,100000000,0000,2400,0101,1231,0,
632,513244,10645,8348,7037,100000000,0000,2400,0101,1231,0,
633,513244,10648,1106,8404,100000000,0000,2400,0101,1231,0,
634,513244,10653,221,8427,100000000,0000,2400,0101,1231,0,
635,513244,10659,8421,8385,100000000,0000,2400,0101,1231,0,
636,513244,10661,8404,1105,100000000,0000,2400,0101,1231,0,
637,513244,10664,8187,8426,100000000,0000,2400,0101,1231,0,
638,513244,10665,8427,4610,100000000,0000,2400,0101,1231,0,
639,513244,10670,8401,8433,100000000,0000,2400,0101,1231,0,
640,513244,10671,2236,8421,100000000,0000,2400,0101,1231,0,
641,513244,10672,7553,1106,100000000,0000,2400,0101,1231,0,
642,513244,10675,8426,8328,100000000,0000,2400,0101,1231,0,
643,513244,10680,8417,8283,100000000,0000,2400,0101,1231,0,
644,513244,10681,8421,2329,100000000,0000,2400,0101,1231,0,
645,513244,10688,8402,8421,100000000,0000,2400,0101,1231,0,
646,513244,10690,8442,8388,100000000,0000,2400,0101,1231,0,
